institution;department;workgroup;title;keyword
davi_tavares;davi_tavares;davi_tavares;confidence intervals sample size estimating prevalence plastic debris seabird nests;confidence interval  error estimation  nests  plastic  prevalence  sample size  sampling design 
davi_tavares;davi_tavares;davi_tavares;environmental anthropogenic factors structuring habitat waterbird guilds tropical coastal lagoons   implications management;aquatic birds conservation generalized linear mixed models human induced changes management tropical biology water depth waterfowl wetlands
davi_tavares;davi_tavares;davi_tavares;mortality seabirds migrating  tropical atlantic relation oceanographic processes;elnino  enso  magellanic penguin  mortality  non breeding  primary productivity  seabird  storm 
davi_tavares;davi_tavares;davi_tavares;anthropogenic debris accumulated nests seabirds uninhabited island west africa;caspian tern great cormorant ecological indicator plastic macro nesting material
davi_tavares;davi_tavares;davi_tavares;traits  shared marine megafauna relationships ecosystem functions services;body size  cetacean  dietary preference  fish  seabird  sea turtle
davi_tavares;davi_tavares;davi_tavares;influences conservation action attitudes knowledge fishermen towards sea turtles along southeastern brazil;ethno ecology chelonia mydas caretta caretta local ecological knowledge conservation program incidental captures
davi_tavares;davi_tavares;davi_tavares;incidental capture sea turtles industrial bottom trawl fishery tropical south western atlantic;trawl fisheries bycatch capture per unit effort caretta caretta lepidochelys olivacea turtle excluder device
davi_tavares;davi_tavares;davi_tavares;human induced changes trophic functioning sandy beaches;beach ecosystem macrofauna trophic interactions anthropogenic impact
davi_tavares;davi_tavares;davi_tavares;a year long survey nearctic shorebirds chain coastal lagoons northern rio de janeiro  brazil;abundance  point counts  restingadejurubatiba  stopover  tropical coastal lagoons
davi_tavares;davi_tavares;davi_tavares;nectar volume is positively correlated flower size hummingbird visited flowers brazilian atlantic forest;allometry corolla length nectar sugar concentration phylogenetic generalized least squares phylogenetic signals tropical forests
