institution;department;workgroup;title;keyword
ZMT;ecology;mangrove_ecology;effects crab burrows sediment characteristics ceriops australis mangrove forest;sesarmid crabs redox potential artificial burrows ecoplates microbial communities
ZMT;ecology;mangrove_ecology;morphometric characteristics alpine salamanders   support subspecies validation conservation;alps   conservation status   dinarides   salamander evolution   salamander morphology   taxonomy
ZMT;ecology;mangrove_ecology;sources particulate organic matter mangrove forests adjacent ecosystems different geomorphic settings;connectivity blue carbon carbon flux seagrass beds tidal flats suspended particulate matter
ZMT;ecology;mangrove_ecology;impact deforestation mangrove tree diversity  biomass community dynamics segara anakan lagoon  java  indonesia   ten year perspective;aboveground biomass deforestation habitat complexity mangrove vegetation reforestation temporal changes
ZMT;ecology;mangrove_ecology;interactive effects temperature nutrients mangrove seedling growth implications establishment;plant climate interactions mangrove seedlings anthropogenic eutrophication mesocosm experiment nitrogen uptake root morphology climate change
ZMT;ecology;reef_systems;herbivorous fish rise as destructive fishing practice falls indonesian marine national park;coral reefs functional tra herbivorous fishes indonesia monitoring muroami fishing zoning
ZMT;ecology;reef_systems;algae sediment dynamics mediated herbivorous fishes nearshore coral reef;herbivory algae sediment anoxia herbivore function lmma
ZMT;ecology;reef_systems;seascapes as drivers herbivore assemblages coral reef ecosystems;coral reefs habitat heterogeneity herbivory productivity seascapes wave exposure
ZMT;ecology;reef_systems;influence predation risk sheltering behaviour coral dwelling damselfish  pomacentrus moluccensis;top down predation risk behaviour damselfish mutualism pomacentrus moluccensis
ZMT;ecology;reef_systems;reefs siege rise  putative drivers  consequences benthic cyanobacterial mats;coral reefs  ecosystem degradation  alternative states  ecological feedbacks  global environmental change  social ecological traps  local management
ZMT;ecology;algae_seagrass_ecology;salicylic acid  derivatives elicit production diterpenes sterols corals algal symbionts   metabolomics approach elicitor sar;corals diterpene production  elicitation metabolomics salicylic acid aspirin  uhplc ms  sterols
ZMT;ecology;algae_seagrass_ecology;livelihood aspects seaweed farming rote island  indonesia;seaweed farming income seaweed farming practices kappaphycus alternative livelihoods indonesia
ZMT;ecology;algae_seagrass_ecology;modeling organic carbon accumulation rates residence times coastal vegetated ecosystems;blue carbon seagrass accumulation rate transit time
ZMT;ecology;algae_seagrass_ecology;different strategies nitrogen acquisition tropical seagrasses nitrogen enrichment ;cymodocea serrulata    thalassia hemprichii    indo pacific   amino acids   enzymatic activity   nitrogen  n  uptake   storage   translocation
ZMT;ecology;algae_seagrass_ecology;multiple stressors benthic harmful algal blooms  bhabs    potential effects temperature rise nutrient enrichment;ostreopsis cf  ovata actinocyclus sp  prorocentrum lima microphytobenthos environmental change mediterranean sea
ZMT;ecology;fish_ecology_evolution;colour pattern as single trait driving speciation hypoplectrus coral reef fishes;coral reef fishes assortative mating population genetics aggressive mimicry speciation colour pattern
ZMT;ecology;fish_ecology_evolution;ecological speciation marine freshwater fishes;adaptive radiation ecology molecular genetics natural selection reproductive isolation sexual selection
ZMT;ecology;fish_ecology_evolution;on spatial scale dispersal coral reef fishes;isolation distance larval dispersal marine mesoamerican barrier reef population genetics spatial genetics
ZMT;ecology;fish_ecology_evolution;estimating dispersal genetic isolation distance coral reef fish  hypoplectrus puella ;barred hamlet connectivity coral reef fishes demography dispersal hypoplectrus puella isolation distance marine pelagic larvae population genetics spatial scale
ZMT;ecology;fish_ecology_evolution;population genetic analyses hypoplectrus coral reef fishes provide evidence that local processes are operating during early stages marine adaptive radiations;coral reef fishes distribution abundance hamlets marine evolutionary radiations population genetics speciation
ZMT;ecology;experimental_aquaculture;operationalizing social ecological systems framework pond aquaculture;sustainability  collective action  interdisciplinary  mixed methods  indonesia  livelihoods  lombok
ZMT;ecology;experimental_aquaculture;isolation characterization bacteria lesion juvenile sea cucumber holothuria scabra  jaeger  1938  symptom skin ulceration disease;pathogen  skin ulceration  vibrio  sea cucumber  beche de mer
ZMT;ecology;experimental_aquaculture;acclimation capability inferred metabolic performance sea cucumber species different latitudes;eurytherms stenotherms holothuria scabra holothuria forskali energy metabolism temperature stress
ZMT;ecology;experimental_aquaculture;metabolic molecular stress responses european seabass  dicentrarchus labrax low high temperature extremes;temperature extreme climate aquaculture mitigation fish physiology metabolic molecular
ZMT;ecology;experimental_aquaculture;extreme ambient temperature effects european seabass  dicentrarchus labrax   growth performance hemato biochemical parameters;temperature extreme aquaculture climate change hematological parameters erythrocytes
