institution;department;workgroup;title;keyword
ZMT;biogeochemistry_geology;geoecology_carbonate_sedimentology;coral calcification  mucus  origin skeletal organic molecules;coral calcification skeletal organic matrix biomineralization
ZMT;biogeochemistry_geology;geoecology_carbonate_sedimentology;relative sea level data seamisdatabase ice 5g model predictionsof glacial isostatic adjustment;glacial isostatic adjustment sea level highstand climate change tectonics
ZMT;biogeochemistry_geology;geoecology_carbonate_sedimentology;pronounced northwest african monsoon discharge   mid  late holocene;african humid period  mauritania  sclerochronology  bivalves  fish otoliths  archaeology  oxygen isotopes 
ZMT;biogeochemistry_geology;geoecology_carbonate_sedimentology;variable thermal stress tolerance reef associated symbiont bearing foraminifera amphistegina linked differences symbiont type;large benthic foraminifera photosymbiosis adaptation acclimatization ocean warming temperature fluctuations
ZMT;biogeochemistry_geology;geoecology_carbonate_sedimentology;comparative metabolomics approach detects stress specific responses during coral bleaching soft corals;bleaching sarcophyton metabolomics symbiosis climate
ZMT;biogeochemistry_geology;submarine_groundwater_discharge;modeling potential submarine groundwater discharge facilitate growth vibrio cholerae bacteria;submarine groundwater discharge   sgd   vibrio cholerae   coastal research   numerical simulations   feflow
ZMT;biogeochemistry_geology;submarine_groundwater_discharge;enhanced productivity fish abundance submarine spring coastal lagoon tahiti  french polynesia;submarine groundwater discharge  situ primary productivity  nutrient input  fish abundance  bottom up control
ZMT;biogeochemistry_geology;submarine_groundwater_discharge;microbial community structure associated submarine groundwater discharge northern java  indonesia ;microbial community composition submarine groundwater discharge sgd fecal indicator subterranean estuary urban coasts indonesia
ZMT;biogeochemistry_geology;submarine_groundwater_discharge;quantifying regional fresh submarine groundwater discharge lumped modeling approach coca_rfsgd;fsgd water balance model tropical island seasonality bucket model
ZMT;biogeochemistry_geology;submarine_groundwater_discharge;environmental impact nutrient fluxes associated submarine groundwater discharge urbanized tropical coast;submarine groundwater discharge nutrient radon water quality coastal management indonesia
ZMT;biogeochemistry_geology;ecological_biogeochemistry;decadal trends mangrove pond aquaculture cover hainan  china  1966   mangrove loss  fragmentation associated biogeochemical changes;shrimp ponds mangrove fores tsediment core land cover change satellite images southchina sea
ZMT;biogeochemistry_geology;ecological_biogeochemistry;interactive effects temperature nutrients mangrove seedling growth implications establishment;plant climate interactions mangrove seedlings anthropogenic eutrophication mesocosm experiment nitrogen uptake root morphology climate change
ZMT;biogeochemistry_geology;ecological_biogeochemistry;variability organic carbon stocks  sources  accumulation rates indonesian mangrove ecosystems;blue carbon carbon stock mangrove organic carbon accumulation stable carbon isotope
ZMT;biogeochemistry_geology;ecological_biogeochemistry;resilience peatland central sumatra  indonesia past anthropogenic disturbance   improving conservation restoration designs palaeoecology;ecosystem function services human activities local policy natural recovery palaeoecology land_use history peat carbon sink restoration design sustainable use
ZMT;biogeochemistry_geology;ecological_biogeochemistry;small tropical islands dense human population differences water quality near shore waters associated distinct bacterial communities;bacterial community composition   eutrophication   small islands   spermonde archipelago   tep
ZMT;biogeochemistry_geology;tropical_marine_microbiology;modeling potential submarine groundwater discharge facilitate growth vibrio cholerae bacteria;submarine groundwater discharge   sgd   vibrio cholerae   coastal research   numerical simulations   feflow
ZMT;biogeochemistry_geology;tropical_marine_microbiology;microbial community composition sediments influenced intensive mariculture activity ;marine aquaculture   microbial diversity   nutrient loading   16s rrna gene sequencing   quantitative pcr   bolinao   philippines
ZMT;biogeochemistry_geology;tropical_marine_microbiology;microbial community composition submarine groundwater discharge sgd fecal indicator subterranean estuary urban coasts indonesia;microbial community composition submarine groundwater discharge sgd fecal indicator subterranean estuary urban coasts indonesia
ZMT;biogeochemistry_geology;tropical_marine_microbiology;thermal stress response juvenile milkfish  chanos chanos  quantified ontogenetic regenerated scale cortisol;aquaculture milk fish stress cortisol temperature
ZMT;biogeochemistry_geology;tropical_marine_microbiology;environmental drivers free living  particle attached bacterial community composition mauritania upwelling system;prokaryotes  biodiversity  microbial ecology  alpha diversity  bray curtis dissimilarity  temperature  salinity  16s rrna illumina amplicon sequencing
ZMT;biogeochemistry_geology;coral_climatology;pronounced northwest african monsoon discharge   mid late holocene;african humid period  mauritania  sclerochronology  bivalves  fish otoliths  archaeology  oxygen isotopes  87sr 86sr
ZMT;biogeochemistry_geology;coral_climatology;pelagic ecoregions   operationalizing ecosystem approach fisheries management atlantic ocean;tunas ecoregions ecosystem approach fisheries management atlantic ocean pelagic conservation spatial management fisheries
ZMT;biogeochemistry_geology;coral_climatology;primary life stage boron isotope trace elements incorporation aposymbiotic acropora millepora coral ocean acidification warming;ocean acidification  _11b  ph proxy  sr ca  sea surface temperature proxies  scleractinian corals  acropora millepora  laser ablation
ZMT;biogeochemistry_geology;coral_climatology;spcz zonal events downstream influence surface ocean conditions indonesian flow region;spcz spcz zonal events south pacific convergence zone porites coral _18o
ZMT;biogeochemistry_geology;coral_climatology;food thought   mathematical approaches conversion high resolution sclerochronological oxygen isotope records into sub annually resolved time series;sclerochronology bivalve otolith von bertalanffy growth function growth model temporal alignment
ZMT;biogeochemistry_geology;carbon_nutrient_cycling; sources organic matter seagrass sediments contribution carbon stocks spermonde islands  indonesia;seagrass corg stocks carbon sources spermonde islands stable isotope
ZMT;biogeochemistry_geology;carbon_nutrient_cycling;holocene monsoon sea level related changes sedimentation northeastern arabian sea;arabian sea holocene indian monsoon westerlies sediment geochemical proxies
ZMT;biogeochemistry_geology;carbon_nutrient_cycling; monsoon  carbon fluxes  organic carbon pump northern indian ocean;organic carbon pump sediment trap monsoon jgofs northern indian ocean
ZMT;biogeochemistry_geology;carbon_nutrient_cycling; spatial temporal variability air sea co2 fluxes effect net coral reef calcification indonesian seas   numerical sensitivity study;hamsom  ecoham  numerical simulation  co2 flux  ocean acidification  indonesian seas  coral reefs  calcification
ZMT;biogeochemistry_geology;carbon_nutrient_cycling;exportation dissolved  inorganic organic  particulate carbon mangroves  implication carbon budget indian sundarbans;dissolved particulate carbon stable carbon isotopes sundarbans bay bengal
davi_tavares;davi_tavares;davi_tavares;confidence intervals sample size estimating prevalence plastic debris seabird nests;confidence interval  error estimation  nests  plastic  prevalence  sample size  sampling design 
